,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
,Rk,Unnamed: 1_level_1,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
0,1,Ray Allen,22,82,3287,8%,87%,5%,,,-1.0,4.2,135,81,129,18,129,,739,23,54
1,2,Glenn Robinson,25,56,2294,,,92%,8%,,1.2,6.9,80,58,95,11,95,,338,24,70
2,3,Ervin Johnson,30,81,2261,,,,,100%,-0.8,2.0,32,21,203,21,107,,125,20,45
3,4,Armen Gilliam,33,82,2114,,,11%,85%,4%,-3.8,-4.4,47,48,94,16,139,,228,27,46
4,5,Tyrone Hill,29,57,2064,,,1%,70%,29%,1.6,6.7,28,29,108,12,117,,189,27,61
5,6,Michael Curry,29,82,1978,,33%,65%,2%,,-4.6,-5.6,38,13,90,10,66,,298,11,16
6,7,Terrell Brandon,27,50,1784,95%,5%,,,,3.0,8.8,84,35,45,6,49,,815,14,27
7,8,Elliot Perry,28,81,1752,100%,,,,,-6.7,-8.8,74,29,39,7,31,,488,6,25
8,9,Andrew Lang,31,57,692,,,,8%,92%,-12.7,-13.4,12,5,64,5,21,,32,3,15
9,10,Jerald Honeycutt,23,38,530,,,20%,63%,17%,3.5,6.1,16,11,26,10,30,,77,10,13
10,11,Jamie Feick,23,45,450,,,,33%,67%,1.4,3.5,9,5,41,3,15,,34,3,11
11,12,Ricky Pierce,38,39,442,21%,76%,4%,,,-11.9,-11.4,11,5,15,1,22,,70,3,12
12,13,Litterial Green,27,21,124,89%,11%,,,,-1.7,0.0,3,4,5,0,6,,37,0,1
13,14,Tony Smith,29,7,80,98%,2%,,,,-11.3,-9.7,6,1,4,0,1,,22,0,1
14,15,Jeff Nordgaard,24,13,48,,26%,59%,15%,,7.0,8.8,1,1,3,0,3,,7,2,1
15,16,Tim Breaux,27,6,30,,55%,45%,,,1.6,3.3,0,0,0,0,1,,4,0,0
